"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/14/2026 14:46:38:973 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"535","10","20","225","68","33.67935409457901","0","0"
"523","10","18","250","460","6.305267204921184","0","0"
"533","10","20","200","118","48.7120338331411","0","0"
"537","10","20","225","79","37.677816224529025","0","0"
"538","10","20","250","98","37.63936947327951","0","0"
"531","10","20","175","348","15.686274509803921","0","0"
"540","10","20","250","83","40.7920030757401","0","0"
"539","10","20","250","78","39.638600538254515","0","0"
"528","10","20","150","510","16.839677047289506","0","0"
"536","10","20","225","406","8.996539792387543","0","0"
"543","12","4","150","1500","54.67128027681661","36","0"
"542","12","4","150","1500","74.62514417531719","27","0"
"541","12","4","150","1500","56.55517108804306","32","0"
"545","12","4","175","1500","43.944636678200695","29","0"
"546","12","4","175","1500","66.43598615916954","36","0"
"550","12","4","225","178","57.97770088427528","0","0"
