"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler_changed.nlogox"
"experiment_100_100"
"08/14/2026 13:02:43:785 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"225","6","14","250","516","12.53364090734333","0","0"
"233","6","16","200","107","39.75394079200308","0","0"
"230","6","16","175","417","14.148404459823144","0","0"
"235","6","16","225","82","36.10149942329873","0","0"
"234","6","16","200","178","58.093041138023835","0","0"
"237","6","16","225","86","38.75432525951557","0","0"
"239","6","16","250","76","35.06343713956171","0","0"
"238","6","16","250","94","36.639753940792005","0","0"
"240","6","16","250","76","32.25682429834679","0","0"
"228","6","16","150","748","15.878508266051519","0","0"
"236","6","16","225","224","52.63360246059208","0","0"
"232","6","16","200","633","9.15032679738562","0","0"
"243","6","18","150","113","50.2883506343714","0","0"
"244","6","18","175","116","48.63514033064206","0","0"
"246","6","18","175","143","53.056516724336795","0","0"
"245","6","18","175","113","48.981161091887735","0","0"
"247","6","18","200","100","37.06266820453671","0","0"
"250","6","18","225","75","35.33256439830834","0","0"
"249","6","18","200","134","51.249519415609385","0","0"
"251","6","18","225","150","46.59746251441753","0","0"
"252","6","18","225","49","31.718569780853517","0","0"
"253","6","18","250","92","34.94809688581315","0","0"
"241","6","18","150","550","15.878508266051519","0","0"
"242","6","18","150","568","23.18339100346021","0","0"
"256","6","20","150","71","38.63898500576701","0","0"
"248","6","18","200","424","14.917339484813533","0","0"
"254","6","18","250","198","48.59669357939254","0","0"
"259","6","20","175","67","31.910803537101113","0","0"
"260","6","20","175","72","36.52441368704344","0","0"
"261","6","20","175","105","44.79046520569012","0","0"
"262","6","20","200","89","35.48635140330642","0","0"
"263","6","20","200","119","45.86697424067666","0","0"
"264","6","20","200","90","45.71318723567858","0","0"
"265","6","20","225","109","45.32871972318339","0","0"
"258","6","20","150","307","14.186851211072664","0","0"
"266","6","20","225","96","31.949250288350633","0","0"
"267","6","20","225","77","34.02537485582468","0","0"
"269","6","20","250","67","33.102652825836216","0","0"
"268","6","20","250","91","39.06189926951173","0","0"
"255","6","18","250","396","7.920030757400999","0","0"
"270","6","20","250","61","31.60322952710496","0","0"
"275","8","4","175","141","58.246828143021915","0","0"
"257","6","20","150","910","7.381776239907728","0","0"
"273","8","4","150","1500","42.86812764321415","47","0"
"272","8","4","150","1500","57.78546712802768","34","0"
"271","8","4","150","1500","47.789311803152636","30","0"
"276","8","4","175","1500","43.713956170703575","15","0"
"274","8","4","175","1500","74.0484429065744","29","0"
"277","8","4","200","1500","41.25336409073433","11","0"
"278","8","4","200","709","58.2083813917724","0","0"
"283","8","4","250","153","45.751633986928105","0","0"
"279","8","4","200","1500","58.59284890426759","33","0"
"280","8","4","225","1500","66.01307189542484","30","0"
"281","8","4","225","1500","78.93118031526336","10","0"
"284","8","4","250","1500","67.28181468665898","8","0"
